id,sentence,sentiment_Stanford,sentiment_Google Cloud,sentiment_Monkey Learn,Grand Truth
303,JanusSource: Business InsiderAs part of his West Coast lifestyle; Gross loves to practice yoga,Negative,Positive,Neutral,Negative
304,Valery Sharifulin/Getty ImagesSource: Business InsiderHe has also played golf at The Vintage Club and Big Canyon Country Club,Negative,Positive,Neutral,Negative
305,Source: Business InsiderGross is also an avid stamp collector,Neutral,Positive,Positive,Positive
306, Hes spent as much as $US3 million collecting every stamp produced by the US from 1847 to 1869; and some of his collections have sold for up to $US500;000,Negative,Negative,Neutral,Negative
307,MediaNews Group/Orange County Register via Getty Images/Getty ImagesSource: Business InsiderGross was once a professional blackjack player,Negative,Neutral,Neutral,Neutral
308, He turned $US200 into $US10;000 in a fourmonth stint in Vegas,Negative,Neutral,Neutral,Neutral
309, It paid for his UCLA businessschool tuition,Neutral,Neutral,Positive,Neutral
310,MARTIN BUREAU/Getty ImagesSource: Business Insider ; ReutersHe has a penchant for Herms ties; which range from $US140 to $US305,Negative,Neutral,Neutral,Neutral
311,PIMCO / YouTubeSource: Business Insider ; HermsBut Gross has an even greater affinity for giving away his money,Negative,Negative,Negative,Negative
312, Bloomberg has called him one of the biggest philanthropists,Neutral,Neutral,Negative,Neutral
313,Source: BloombergHes donated as much as $US700 million and said he plans to donate his remaining millions,Negative,Positive,Neutral,Negative
314, He once told Bloomberg the amount of his fortune was staggering; even to me,Negative,Neutral,Neutral,Neutral
315,BloombergTV via YouTubeSource: BloombergHe mostly donates through the William and Sue Gross Family Foundation; which supports healthcare; medical research; and education,Negative,Neutral,Negative,Negative
316, The foundation donated more than $US21 million in 2018,Negative,Neutral,Neutral,Neutral
317,Source: Bloomberg ; Business InsiderHe donated the $US81 million he received in a settlement with Pimco in a wrongfuldismissal lawsuit to the foundation,Negative,Negative,Neutral,Negative
318,Source: ForbesMuch of his donations go toward health: $US20 million to Hoag Memorial Hospital Presbyterian in Newport Beach; $US20 million to CedarsSinai Medical Center in Los Angeles; $US20 million to the medical charity Mercy Ships; and $US10 million to Mission Hospital in Laguna Beach,Negative,Neutral,Neutral,Neutral
319,FG/BauerGriffin/Getty ImagesSource: BloombergThe William and Sue Gross Family Foundation committed $US40 million toward establishing the Sue and Bill Gross School of Nursing at the University of California,Negative,Negative,Neutral,Negative
320,MediaNews Group/Orange County Register via Getty Images/Getty Images The University of California at Irvine,Negative,Neutral,Neutral,Neutral
321,Source: Los Angeles TimesGross has also donated $US23.5 billion to his alma mater; Duke University; for financial aid,Neutral,Positive,Neutral,Neutral
322,Chadarat Saibhut/ShutterstockSource: Forbes ; BloombergHes also given to arts and culture organisations; donating $US10 million to the Smithsonian Institution for a stampcollecting gallery,Negative,Positive,Neutral,Negative
323,Source: Business InsiderHe and Sue Gross wrote anonymous $US15;000 checks to workers laid off from NASAs Space Shuttle program in 2012,Negative,Negative,Neutral,Negative
324,David McNew/Getty ImagesSource: Business InsiderThats not to mention personal gifts he and Sue Gross reportedly gave American families in need,Negative,Negative,Negative,Negative
325,John Moore/Getty ImagesSource: BloombergBill Gross has also given to worldwide charitable efforts,Negative,Neutral,Neutral,Neutral
326, He worked with GiveDirectly; which donates to poor people in Africa,Negative,Positive,Neutral,Negative
327,PIUS UTOMI EKPEI/Getty ImagesSource: BloombergHe also donated more than $US19 million to the Millennium Villages Project; which focuses on the causes of extreme poverty in Africa,Negative,Neutral,Neutral,Neutral
328,Getty ImagesSource: Inside PhilanthropyGross says he plans to work with charitable organisations during his retirement,Negative,Positive,Neutral,Negative
329,Source: Business InsiderBI VIDEOWant to read a more indepth view on the trends influencing Australian business and the global economy,Negative,Positive,Neutral,Negative
330, BI / Research is designed to help executives and industry leaders understand the major challenges and opportunities for industry; technology; strategy and the economy in the future,Negative,Positive,Neutral,Negative
331,Property experts are calling the lowwater mark of Perths real estate market after 2017 saw the lowest number of dwelling sales in the metropolitan area in more than 25 years,Negative,Neutral,Neutral,Neutral
332, Real Estate Institute of WA figures show just 26;223 sales of houses and units in Perth last year  the lowest number since 27;601 dwellings changed hands in 1990 during Paul Keatings recession we had to have,Negative,Neutral,Negative,Negative
333, The figures show that while transactions have dropped significantly; prices have been more resilient since the resources boom ended in 2014; when the median Perth house price peaked at $555;000,Negative,Negative,Neutral,Negative
334, In that time; median house prices have fallen to $515;000; while prices for units; which peaked at $450;000 in 2014; have fallen to $410;000,Negative,Negative,Negative,Negative
335, WA Treasurer Ben Wyatt acknowledged the challenges facing the housing market; with stamp duty collections down $60 million between last years Budget and the midyear review; and nearly $400 million down over five years,Negative,Neutral,Positive,Negative
336, Stamp duty is one of the State Governments biggest tax sources; worth an estimated $1.43 billion this financial year,Negative,Positive,Negative,Negative
337, Video They may be cheap for Perth real estate; but there is a catch,Neutral,Neutral,Positive,Neutral
338, they are on a 80 square metre block,Neutral,Negative,Neutral,Neutral
339, Underlying duty; largely generated from the residential property market; increased in the March quarter 2018 compared to the previous year; the first such quarterly year on year increase since the September quarter 2014; Mr Wyatt said,Negative,Negative,Positive,Negative
340, The softness of the housing market is not new; but I have learnt from the many Real Estate advocates that I have come across that this does translate to the fact that now is a great time to buy! REIWA State president Hayden Groves described last years sales figures as extraordinary and perplexing; particularly given the number of dwellings in Perth had doubled since 1990,Positive,Positive,Neutral,Positive
341, Mr Groves property owners had gone into their shells and stopped trading in real estate as the state was hit with outbound migration prompted by the end to the mining boom,Negative,Negative,Negative,Negative
342, However; he said the reaction had been out of proportion to the underlying strength of the WA economy; which he noted was far bigger now than 30 years ago,Negative,Neutral,Negative,Negative
343, According to Mr Groves; strong activity in aspirational suburbs with median house prices above $750;000; such as Wembley and Applecross; indicated the market was turning as buyers sought to capitalise on relative bargains,Negative,Neutral,Neutral,Neutral
344, He said trading in the first three months of the year had already been brighter than in the past few corresponding periods and predicted prices would nudge up 23 per cent this year before accelerating from 2020,Negative,Neutral,Positive,Negative
345, 2017 was the lowwater market of housing transactions for the last 30odd years in Perth; Mr Groves said,Negative,Neutral,Neutral,Neutral
346, Prices actually have held up in Perth surprisingly well given some of those points,Positive,Positive,Positive,Positive
347, Where theres growth its all been in those aspirational; higher priced; higher value suburbs,Negative,Negative,Positive,Negative
348, Thats a community thats saying right; the bottom of the market has arrived; we can now afford to buy in Cottesloe or Applecross and lets do it because were not going to see them this cheap ever again,Negative,Negative,Negative,Negative
349, It will be a much calmer market but it will slowly build from here,Neutral,Positive,Negative,Neutral
350, From 2020 were probably starting to see plus five per cent to 10 per cent growth per annum,Neutral,Neutral,Neutral,Neutral
351, because Perth is still comparatively cheap compared with the Sydney and Melbourne markets,Neutral,Neutral,Positive,Neutral
352, All rights reserved,Neutral,Neutral,Neutral,Neutral
353, Privacy Policy Terms and Conditions The West Australian,Neutral,Negative,Neutral,Neutral
354,The national median house price fell 1.0 per cent over the June quarter and year; according to a report by property classifieds group Domain released on Thursday,Negative,Neutral,Neutral,Neutral
355, It is the first time values have fallen on an annual basis since June 2012,Negative,Neutral,Neutral,Neutral
356, The Negative national growth rate reflects weakening house prices in Sydney and Melbourne; which together represent about two thirds of Australias housing market by value,Negative,Negative,Negative,Negative
357, Sydney house prices fell by 4.5 per cent in the 12 months to the end of June for their largest annual drop since 2008,Negative,Positive,Neutral,Negative
358, Sydney units also fell by 3.5 per cent over the same period,Negative,Neutral,Negative,Negative
359, The figures chime with those released this week by property data firm CoreLogic; which said overall Sydney prices fell 5.0 per cent in the 12 months to July 22,Negative,Negative,Neutral,Negative
360, House and unit prices in Sydney are now back to values seen at the end of 2016; Domain property analyst Nicola Powell told AAP,Negative,Neutral,Neutral,Neutral
361, Tighter credit availability and a high number of units being built are key factors behind the dive; Dr Powell said,Positive,Neutral,Positive,Positive
362, With more choice and less urgency; there are fewer active buyers in the market; and those who are in the market are being restricted by tightening lending standards and the availability of credit,Negative,Neutral,Positive,Negative
363, Lending standards have come under fire at the ongoing banking royal commission; leading many institutions to increase scrutiny of borrowers income and expenses  particularly in Sydney and Melbourne; which have high home price to income ratios,Negative,Neutral,Negative,Negative
364, Hobart; meanwhile; delivered the strongest annual house price growth of all capital cities at 15.9 per cent; continuing its trend of doubledigit annual growth that started in early 2017,Positive,Neutral,Neutral,Neutral
365, Were seeing a lot of capital from Melbourne and Sydney flow into Hobart  as it offers relative affordability; Dr Powell said,Positive,Positive,Positive,Positive
366,"Household Comfort report finds proportion of Australians feeling financially secure has risen Vast majority surveyed believe house prices won't keep falling Income increases not felt across the board; casual workers report wage lossesThat's the key finding of ME Bank's latest financial comfort"""" report; which surveyed 1;500 people about how they perceived their own finances in the second half of 2018""",Negative,Positive,Neutral,Negative
367, The 15th biannual report found income gains; easing living costs and increased savings were key drivers in households' feeling more comfortable,Negative,Positive,Positive,Positive
368," ""Most households are well supported by both [subdued] wage gains and stronger jobs growth  albeit underemployment remains high;"" the report reads",Negative,Positive,Negative,Negative
369, House prices have fallen dramatically in some parts of the country lately; with drops of nearly 10 per cent felt in Sydney and Melbourne over the past year alone,Negative,Negative,Neutral,Negative
370, And the fall appears to be picking up speed in the new year ; dropping an average of 1 per cent last month nationally,Negative,Negative,Negative,Negative
371, Despite this; the vast majority of residential property owners surveyed by ME Bank were bullish about their own fortunes,Neutral,Negative,Negative,Negative
372, Only 13 per cent of homeowners and 11 per cent of investors expected the value of their properties to fall this year,Negative,Neutral,Negative,Negative
373,External Link What do you think will happen to house prices over the next 12 months,Negative,Neutral,Neutral,Neutral
374,"Economist and report coauthor Jeff Oughton said the recent ""correction"" in house prices had been felt most keenly at the top end of the market",Negative,Positive,Positive,Positive
375," ""We've seen a correction for wealthier; older propertyowning Australians who've been riding the hot property and bull share markets for much of the past seven years;"" he said",Negative,Neutral,Neutral,Neutral
376," ""Middle and lowerincome households have begun to benefit from an easing in living cost pressures and income gains",Neutral,Positive,Positive,Positive
377,Property outlook for 2019Policymakers have embarked on the delicate task of deflating a property bubble without bursting it  this year we'll find out if they've succeeded,Negative,Neutral,Negative,Negative
378,"""Together the changes have helped bridge the gap in financial inequality that had been widening",Neutral,Positive,Negative,Neutral
379,""" More broadly; the report found the gap in financial comfort between high and averageincome households had also closed",Negative,Neutral,Neutral,Neutral
380, It found the financial comfort of those earning more than $200;000 a year fell by 6 per cent to 6.79 out of 10; while those earning $75;000 to $100;000 reported their financial comfort had increased by 7 per cent to 5,Negative,Neutral,Negative,Negative
381,87,Neutral,Neutral,Neutral,Neutral
382, The overall index across all wages rose by 2 per cent to 5.56 out of 10  higher than any of the past five surveys,Negative,Negative,Negative,Negative
383, Not an even spread Despite the average rise in financial comfort; an increase in household income was not felt across the board,Negative,Negative,Negative,Negative
384, The report found fulltime workers were the most likely to report an income boost over the last year; followed by the selfemployed; while casual employees reported the highest level of income reduction,Positive,Neutral,Negative,Positive
385,External Link Income changes over the past yearAustralians are also tightening their belts and saving more; suggesting a level of anxiety about the state of the economy,Negative,Neutral,Positive,Negative
386, Mr Oughton said a number of factors could explain this caution,Negative,Neutral,Neutral,Neutral
387," ""We're still seeing some geopolitical effects; with households concerned about the world economy up two points to 29 per cent;"" he said",Negative,Neutral,Neutral,Neutral
388," ""Combined with domestic property and share market corrections; many Australians are beginning to tighten their belts to build financial resiliency",Negative,Neutral,Positive,Negative
389," ""If aboveaverage cash savings and reduced spending behaviour continues during 2019 it could significantly slow economic growth and in turn may lead to smaller job and income gains",Negative,Neutral,Neutral,Neutral
390,"""Posted Thu 7 Feb 2019; 8:54 AM AEDTShareEmailFacebookTwitterRelatedHouseholds at 'tipping point'; as more Aussies struggle to pay living costsCould financial plain packaging break Australia's debt addiction",Negative,Positive,Negative,Negative
391,Rate cuts as likely as rises as Reserve Bank governor eyes falling house pricesMore Stories'I get new ones every day': NRL sex tapes are spreading in WhatsApp groupsOutback KFC announces early closures to protect staff after becoming default safe houseSuitcase murder suspect's family were on lookout for potential bridesPolice interviewed dead dentist's exboyfriend before he died in car crash'It's been pretty wild': From bushfires to snow all in one week at Mount Baw BawAnalysis: Camry in a coal mine  are slumping car sales warning us the economy's about to crash,Negative,Neutral,Negative,Negative
393, The Melbourne investor had been scouting the hot inner eastern suburb for some time and struck with three other bidders at Saturdays auction,Negative,Neutral,Neutral,Neutral
394, MORE REAL ESTATE NEWS: Big renovation near cement works threatens Herne Hill record Check out Lyon; Brownlesss new Armadale pad New northern suburbs housing estate to hit the market 26 Glover St; Newcomb; sold for $500;000,Negative,Negative,Neutral,Negative
395, Source:Supplied 26 Glover St; Newcomb; sold for $500;000,Negative,Neutral,Neutral,Neutral
396, Source:Supplied But the wait to secure the 725sq m property with a threebedroom house might have been fortuitous as Fruit Property agent David Phillips said a number of buyers questioned whether the $450;000 to $495;000 price guide was an in indication the property was priced to sell,Negative,Negative,Negative,Negative
397, Mr Phillips said the price guide reflected a changing market,Positive,Neutral,Neutral,Neutral
398, We opened it up on a vendor bid at $440;000 and it was it was strongly contested with two buyers from $460;000 onwards; Mr Phillips said,Negative,Neutral,Negative,Negative
399, 26 Glover St; Newcomb; sold for $500;000,Negative,Neutral,Neutral,Neutral
400, Source:Supplied 26 Glover St; Newcomb; sold for $500;000,Negative,Neutral,Neutral,Neutral
401, Source:Supplied Hes been trying to buy in Newcomb for some time,Negative,Negative,Neutral,Negative
402, He plans to rent it out and possibly do a subdivision,Negative,Neutral,Neutral,Neutral
403, Theres a precedent already in the street which is good,Positive,Positive,Positive,Positive
404, I had this buyer; I had two others buyers that were in the same position for buying and the fourth was a young firsthome buyer; he said,Negative,Neutral,Positive,Negative
405, But Mr Phillips said there was more interest during the campaign,Negative,Neutral,Positive,Negative
406, Why moving to a 'sister suburb' can save you money 0:37 Why moving to a 'sister suburb' can save you money September 10th 2018 3 months ago /display/newscorpaustralia,Negative,Negative,Negative,Negative
407,com/Web/NewsNetwork/REA  Real Estate/I had a good number of people come through but they were pretty much just researching what it was worth now on value; he said People were asking this is priced for it to sell; but the market has changed; thats where the market is now,Neutral,Negative,Neutral,Neutral
408, Its the second property to hit $500;000 in the street in 2018; following a sale of a 648sq m property in June,Negative,Negative,Negative,Negative
409,I don't mind being a renter; except for this one thingDoesnt matter the dwelling; my real estate agents have always been hopeless  and utterly unapologetic about their incompetence,Negative,Negative,Negative,Negative
410, (Getty Images/Digital Vision)PreviousNextShow GridPreviousNextHide GridImage1 /VideoAudioIve heard the jokes about lawyers; and usedcar salesmen,Negative,Neutral,Neutral,Neutral
411, I know what people think of taxidermists,Neutral,Positive,Neutral,Neutral
412, But; seriously; what is it with real estate agents,Positive,Neutral,Negative,Positive
413,ByMatilda DixonSmith22 Feb 2018  11:30 AM  UPDATED22Feb201811:32AMTweetOPINIONIf the doomsdayers are to be believed; the property market in this country is so deeply broken that millennials like me will be renting for the rest of our living days,Negative,Negative,Negative,Negative
414, And; as much as the Property Brothers ; Selling Houses Australia loving side of me is disappointed by my diminishing prospects of home ownership; I actually dont mind being a renter,Negative,Neutral,Negative,Negative
415,Well; except for one thing: the frustrating close proximity it places me to rental real estate agents,Negative,Neutral,Negative,Negative
416,Truly; there is no one on this earth more detestable than a rental real estate agent,Negative,Negative,Negative,Negative
417, Ive heard the jokes about lawyers; and usedcar salesmen,Neutral,Neutral,Negative,Neutral
418, I know what people think of taxidermists,Neutral,Positive,Neutral,Neutral
419, And; yes; I do have a longstanding feud with every employee of the Australian postal service,Negative,Neutral,Negative,Negative
420, (Look; Australia Post; if you dont like parcels clogging up the storage areas of your post shops; you should probably stay open outside of business hours ,Negative,Negative,Negative,Negative
421,)But real estate agents who manage rental properties are in their own special category,Positive,Positive,Negative,Positive
422,Good morning to everyone except real estate agents  Chloe Papas  (chloepapas) February 15; 2018Not only are they difficult to deal with; incompetent; uncaring and suspiciously untruthful; they appear to delight in being all of the above,Negative,Negative,Negative,Negative
423, And I have the receipts to prove it,Positive,Neutral,Neutral,Neutral
424,Ive been a renter in Melbourne for almost a decade; and boy; have I collected a cavalcade of absurd tales of woe regarding my interactions with real estate agents,Negative,Negative,Negative,Negative
425, East of the city; west of the city; in apartments; houses; shitty units above shops and decadent concrete abodes designed for people far better off than me,Positive,Negative,Negative,Negative
426,Doesnt matter the dwelling; my real estate agents have always been hopeless  and utterly unapologetic about their incompetence,Negative,Negative,Negative,Negative
427,There was the house in Brunswick without a letter box; which took so long to be fixed the post office threatened to stop delivering our mail until the situation was resolved,Negative,Negative,Negative,Negative
428,Doesnt matter the dwelling; my real estate agents have always been hopeless  and utterly unapologetic about their incompetence,Negative,Negative,Negative,Negative
429,Or; how about the hole in the floor of our unit; which was right in front of a doorway; meaning we had to leap over the hole like acrobats to get from one room to the next,Neutral,Neutral,Negative,Neutral
430, That one took nine months to be fixed; after a stern communique from the Victorian Tenants Union; we lived next door to our real estate agents office,Negative,Negative,Negative,Negative
431,Ive lived in houses with falling down garage doors  exposing the whole back of our largewindowed house to anyone who wandered down the street  and leaks in the ceiling so bad the whole level flooded every time it rained (in Melbourne thats like once a week during winter),Negative,Negative,Negative,Negative
432,And; each time; the real estate agents were suspiciously unable to help,Negative,Negative,Negative,Negative
433, Or they forget to call you back about the work order,Neutral,Negative,Neutral,Neutral
434, Or they just cant seem to get onto the landlord,Neutral,Neutral,Negative,Neutral
435, Or they made a slight miscalculation with the rental payment for this month,Neutral,Neutral,Neutral,Neutral
436,And what are we to do; us terminal renters,Neutral,Neutral,Neutral,Neutral
437, Where else can we go for our property needs; but to these suspiciously unavailable; unhelpful; sharpsuited; whitetoothed devils,Negative,Negative,Negative,Negative
438,Nowhere; unfortunately  because its nearly impossible to rent property in Australia without the help of a real estate agent,Negative,Negative,Negative,Negative
439, And in all these years; throughout all these myriad properties; Ive never met a good one,Negative,Negative,Negative,Negative
440,Sure; it sounds like a pretty big generalisation; right,Positive,Neutral,Negative,Positive
441, But Ill ask you right now to close your eyes,Positive,Positive,Neutral,Positive
442, Back to all the rental properties youve occupied in the past,Neutral,Neutral,Neutral,Neutral
443, Yes; even that one (I know it was awful),Negative,Negative,Positive,Negative
444,Look deep; deep inside yourself; and admit youve never met a good real estate agent either,Positive,Positive,Negative,Positive
445,AdvertisementIn SocialIn SocialSubscribeFacebook62 KFollowTwitterTrending TopicsWhat we get wrong about smart Asian kidsWatch Troye Sivan read wildly inappropriate thirst tweets about himselfWatch these brides set their dresses on fire for the ultimate wedding photoI don't mind being a renter; except for this one thingThe women who dont know theyre autisticTrending SBSExclusive: Fatherofseven with Australian passport to be deportedImams; Muslim groups outraged by PMs 'divisive' Bourke Street commentsHungry Jacks Premier League Masters WidgetNo takers for thousands of Australian permanent residency visasWoman faces court over alleged strawberry needle contaminationAdvertisementBack to topCopyrightTerms  ConditionsPrivacyDisclaimerYour online preferencesAudience Technical SupportComplaintsContactMedia ReleasesThe SBS CharterCodes of PracticePolicies  PublicationsFreedom of InformationPublic Interest DisclosureSenate Order  Entity ContractsFreeviewUsing this WebsiteFAQsOur StoryCommissioned ContentTranslations  SubtitlingSales  AdvertisingTenders  Purchasing OpportunitiesPublicity Media CentreCareersHow to receive SBS TV  RadioHow to get my Program on SBSWhat SBS tells me about AustraliaWhy SBS introduced commercialsThe SBS Board of DirectorsNITVPodcastsCQ Cultural IntelligenceNewslettersx,Negative,Negative,Negative,Negative
446,Topics NT News Lifestyle Darwins northern suburbs are proving attractive options to buy in; as they lead the property market to its rebound,Negative,Neutral,Positive,Negative
447, Nightcliff resident Lee LevettOlsen said the current state of the market gave him confidence he would sell his house for a fair price,Negative,Positive,Neutral,Negative
448, The markets been flat for a long time but it does seem to be picking up here; he said,Negative,Neutral,Positive,Negative
449, What Id say is the market is still low enough that somebody is going to make a very good deal,Neutral,Positive,Neutral,Neutral
450, He said the northern suburbs gave him an enjoyable lifestyle that he would look to continue in his retirement,Positive,Positive,Positive,Positive
451, When we came up from South Australia it was the tropics that attracted us; and the place were living in just typifies the tropics; he said,Negative,Neutral,Positive,Negative
452, The small swimming pool is like a billabong with plants all around the property; its got louvres everywhere so the breezes just go through and for us its a big plus that its in Nightcliff  it holds a wonderfully mixed community,Positive,Positive,Positive,Positive
453, Were about a fiveminute walk from the foreshore and the jetty; and that track for bicycles is just wonderful,Positive,Positive,Positive,Positive
454, We like the local mix of shops and there are good restaurants,Positive,Positive,Positive,Positive
455, Raine and Horne general manager Glenn Grantham said the northern suburbs provided a great location for many different types of people and was gaining interest,Positive,Positive,Positive,Positive
456, Quality; welllocated and wellpresented properties in northern suburbs such as Nightcliff; Leanyer and Tiwi are achieving strong inquiry with as many as 12 groups attending Saturday open for inspections; he said,Positive,Positive,Positive,Positive
457, In the northern suburbs; were almost back to the good old days of four years ago,Negative,Positive,Positive,Positive
458, Mr Grantham said he only expects the market to grow in the coming months,Negative,Neutral,Neutral,Neutral
459, By June or July next year; I expect that we will see more even Darwin property market activity with the numbers of properties for sale level pegging with buyer demand; he noted,Negative,Neutral,Positive,Negative
460, It will neither be a buyers or sellers market  at this point; we will also see more demand for properties across the entirety of Darwin and Palmerston,Negative,Negative,Neutral,Negative
461,"AEDTPhotoAustralian house prices may be 4pc down from their peak; but they are still up more than 40pc over the decade""",Negative,Neutral,Neutral,Neutral
462,Maximillian Conacher: public domainIt's a busy week for the Reserve Bank,Negative,Neutral,Neutral,Neutral
463, There's the annual Cup Day board meeting and the release of its latest batch of forecasts in the quarterly Statement on Monetary Policy on Friday,Negative,Neutral,Neutral,Neutral
464, Busy is a relative term,Neutral,Positive,Neutral,Neutral
465, Nothing much will change,Neutral,Negative,Neutral,Neutral
466, Interest rates will stay on hold at the record low of 1.5 per cent; as they have at every meeting since August 2016,Negative,Neutral,Negative,Negative
467, The key forecasts for GDP growth; inflation and unemployment over the foreseeable horizon will remain largely untouched,Negative,Negative,Neutral,Negative
468, The glass will remain halffull at the RBA's Martin Place HQ,Neutral,Neutral,Neutral,Neutral
469, While a batch of data released last week may not alter the RBA's view; it was unsettling nonetheless,Negative,Negative,Negative,Negative
470, That core inflation missed the RBA's target is almost a given these days,Negative,Neutral,Neutral,Neutral
471, It's undershot every quarter for almost three years now,Neutral,Neutral,Neutral,Neutral
472, But perhaps the more subtle worry is falling house prices feeding into retail sales and ultimately consumption,Negative,Positive,Positive,Positive
473, Friday's retail sales figures were undeniably poor,Negative,Negative,Negative,Negative
474, Growth is now almost negligible; up just 0.2 per cent in the September quarter,Negative,Neutral,Neutral,Neutral
475, The hardesthit sectors were in discretionary spending; particularly household goods,Negative,Positive,Positive,Positive
476,External Link Retail sales by sectorClearance rates point to a crash: analyst This weekend's property auction results were again pretty bleak for the sellers; but good for the few buyers who turned up,Negative,Neutral,Negative,Negative
477, Sydney's preliminary clearance rate was 44 per cent compared to 60 per cent a year ago,Negative,Neutral,Neutral,Neutral
478, In Melbourne only around 42 per cent of properties sold; compared to 67 per cent a year ago,Negative,Neutral,Neutral,Neutral
479,External Link Christopher tweetIn Brisbane fewer than a third of properties up for auction sold,Negative,Neutral,Neutral,Neutral
480," Louis Christopher; head of property researcher SQM; said results like that translate into price falls of up to 3 per cent a quarter and put the market on a crash"" trajectory",Negative,Neutral,Negative,Negative
481," ""There were nearly as many properties withdrawn in Sydney as reported sold;"" he said",Neutral,Negative,Neutral,Neutral
482," ""170 withdrawn versus 222 sold",Neutral,Neutral,Neutral,Neutral
483, I've never seen a ratio that high,Neutral,Neutral,Negative,Neutral
484,""" Falling house prices hitting consumers Perhaps it is a coincidence; but the lower end of the property market finally started falling around the time retail sales hit the brakes",Negative,Negative,Negative,Negative
485, While top end property prices started falling a bit over a year ago; the less volatile bottom quartile of the market held out until the end of June,Neutral,Negative,Negative,Negative
486, So far; the impacts of expensive housing keeling over have been barely noticeable in the broader economy,Negative,Neutral,Negative,Negative
487,External Link Oliver tweetGDP was strong and consumer spending OK over the second quarter; despite real income per worker falling,Negative,Negative,Neutral,Negative
488, However; price falls in the property market are far broader now,Neutral,Neutral,Neutral,Neutral
489, The bottom end of the market is down around 2 per cent over the year; compared to the almost 10 per cent fall in the top end,Negative,Neutral,Negative,Negative
490, The affordable end of the market becoming more affordable is terrific news for first home buyers; but it makes existing home owners  already worried about stagnant wages and falling savings  more anxious about their dwindling wealth,Positive,Positive,Positive,Positive
491, In that environment; consumer spending becomes a bigger worry,Neutral,Neutral,Negative,Neutral
492," ""The price of less expensive housing tends to be less volatile; and price falls much rarer  declines in this segment suggest more persistent weakness in the property market;"" Morgan Stanley's Daniel Blake said",Negative,Negative,Neutral,Negative
493," ""Additionally; spending of owners of housing in this segment are likely to be more sensitive to prices; given that lower income households tend to hold less savings buffers",Negative,Neutral,Negative,Negative
494," ""This suggests we may begin to see signs of wealth effects from housing in the latter half of the year",Positive,Neutral,Neutral,Neutral
495,"""External Link Joiner tweetHas the economy already peaked",Negative,Neutral,Neutral,Neutral
496, September's weak retail figures may just be the start of that,Negative,Neutral,Negative,Negative
497, The economic bedrock of the first half of the year  household consumption and residential construction  could start to look rather shaky,Negative,Negative,Negative,Negative
498," ""We think household consumption moves to a sub2 per cent annual pace next year with housing turning into a drag on activity;"" RBC's SuLin Ong observed after the dust settled on last week's house price and retail data",Negative,Neutral,Neutral,Neutral
499, Ms Ong said Australian economic growth may have peaked for the time being,Negative,Neutral,Neutral,Neutral
500, Just how persistent and broad the house price fall will be is open to question,Negative,Neutral,Neutral,Neutral
501, However; the annualised rate  viewed over a three month period; which flattens out some monthly volatility  seems to show the rate of decline slowing in both the top and more affordable ends of the market up to the end of October,Negative,Negative,Negative,Negative
502,PhotoExternal Link House prices: top quartile vs bottom quartileThe slight uptick in the three months to November shouldn't be construed as an effort to call the bottom of the market; but as the graph shows; things can turn around fairly quickly,Negative,Positive,Negative,Negative
503, Either end of the market is affected by different forces to a degree,Neutral,Negative,Neutral,Neutral
504, The topend has been hit by tighter credit and the regulatory squeeze on interestonly loans and investors,Negative,Neutral,Negative,Negative
505, Bottomend will; to an extent; be squashed by the vast supply flowing through the residential construction pipeline in the next 12 to 18 months,Negative,Neutral,Negative,Negative
506, That said; strong employment growth is likely to continue to put a floor under the price of more affordable end of the market for some time yet,Positive,Positive,Negative,Positive
507, So has home affordability improved,Positive,Positive,Neutral,Positive
508, Just how grim is the property price slide,Neutral,Negative,Neutral,Neutral
509, It depends on your perspective,Neutral,Neutral,Neutral,Neutral
510, Those looking to get into the market will be cheering falling prices,Neutral,Neutral,Neutral,Neutral
511, Across the national capitals; the CoreLogic Home Value Index is back to where it was in January 2017,Negative,Neutral,Neutral,Neutral
512, So if you bought a property since then; chances are you are underwater and unhappy,Negative,Negative,Negative,Negative
513, National dwelling values are 3.5 per cent below where they were a year ago at their peak,Negative,Neutral,Negative,Negative
514, While Sydney and Melbourne have experienced sharper falls than the national average; the declines are still modest and fairly insubstantial compared to gains made by those who've been in the market for several years,Negative,Negative,Negative,Negative
515, Perth is a different world of pain,Neutral,Neutral,Positive,Neutral
516, CoreLogic's reading of the market there is property is worth less than it was a decade ago,Negative,Neutral,Neutral,Neutral
517," ""While home owners don't like to see the value of their assets falling; to put this into perspective; values are still 45 per cent higher over the past decade and 210 per cent higher over the past 20 years;"" CoreLogic's Cameron Kusher said",Negative,Negative,Neutral,Negative
518,"""Although values in Sydney and Melbourne are seeing accelerating rates of decline; in the context of the runup in values over recent years; it has not greatly improved affordability;"" Mr Kusher said",Negative,Negative,Neutral,Negative
519, If you couldn't afford to get in a few years ago; you probably can't afford to now,Negative,Neutral,Negative,Negative
520," ""CoreLogic expects values to continue declining over the coming months; however it is unlikely that these falls will make any significant improvement to affordability; especially in the absence of real income growth",Negative,Neutral,Negative,Negative
521,""" In other words; most markets would need many more years of price declines to generate the sort of affordability now seen in Perth and Darwin",Negative,Neutral,Positive,Negative
522, Wall St slips again on trade worries After a pretty torrid October; global markets kicked off a new month feeling a bit more chipper,Negative,Neutral,Negative,Negative
523, Over the week the ASX was up more than 3 per cent,Negative,Neutral,Positive,Negative
